assay.id	PlateOrder	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced
1	2	96	0.0011	0	0	0	-139.87834
1	2	95	0.165	0.1639	0.26354083	0.2845486	-100
1	2	94	0.633	0.6319	1.0160552	1.0970486	13.868616
1	2	93	0.519	0.5179	0.83275044	0.89913195	-13.868616
1	2	92	0.2592166	0.2581166	0.4150352	0.4481191	-77.076256
1	2	91	0.36316237	0.36206236	0.5821734	0.6285805	-51.785313
1	2	90	0.20208414	0.20098414	0.3231698	0.3489308	-90.9771
1	2	89	0.067335494	0.0662355	0.10650249	0.11499218	-123.76266
1	2	88	0.3085828	0.3074828	0.49441293	0.5338243	-65.06501
1	2	87	0.23119397	0.23009397	0.36997655	0.3994687	-83.89441
1	2	86	0.1587381	0.1576381	0.25347212	0.27367726	-101.523575
1	2	85	0.42977434	0.42867434	0.6892812	0.7442263	-35.57802
1	2	84	0.124693654	0.12359366	0.19873078	0.21457231	-109.8069
1	2	83	0.21462393	0.21352392	0.34333298	0.37070125	-87.926056
1	2	82	0.2653616	0.2642616	0.42491597	0.4587875	-75.581116
1	2	81	0.48249587	0.48139587	0.7740541	0.8357567	-22.750397
1	2	80	0.19741501	0.196315	0.31566212	0.34082466	-92.11314
1	2	79	0.057040706	0.055940706	0.089949116	0.09711928	-126.26747
1	2	78	0.09923113	0.098131135	0.15778865	0.17036654	-116.00216
1	2	77	0.26671645	0.26561645	0.42709446	0.46113968	-75.25147
1	2	76	0.25338304	0.25228304	0.40565518	0.43799138	-78.49561
1	2	75	0.24881606	0.24771605	0.39831176	0.4300626	-79.6068
1	2	74	0.11907643	0.11797643	0.18969864	0.20482019	-111.17362
1	2	73	0.27563974	0.27453974	0.44144255	0.4766315	-73.08035
1	2	72	0.24499734	0.24389733	0.3921715	0.4234329	-80.53593
1	2	71	0.37866238	0.37756237	0.60709643	0.6554902	-48.014023
1	2	70	0.5485317	0.5474317	0.88023555	0.95040226	-6.6832833
1	2	69	0.27681676	0.27571675	0.44333512	0.47867492	-72.793976
1	2	68	0.031436875	0.030336875	0.04877978	0.052668188	-132.49712
1	2	67	0.14019692	0.13909692	0.22365905	0.24148771	-106.03481
1	2	66	0.38566813	0.38456813	0.61836123	0.667653	-46.30946
1	2	65	0.26017308	0.25907308	0.41657314	0.44977966	-76.84354
1	2	64	0.27018902	0.269089	0.43267813	0.46716842	-74.40657
1	2	63	0.115360744	0.11426075	0.18372405	0.19836934	-112.07768
1	2	62	0.060063753	0.058963753	0.09480999	0.102367625	-125.53194
1	2	61	0.13148996	0.13038996	0.20965882	0.22637147	-108.1533
1	2	60	0.2252603	0.2241603	0.3604356	0.3891672	-85.33813
1	2	59	0.23490173	0.23380172	0.3759384	0.40590578	-82.99228
1	2	58	0.30098936	0.29988936	0.48220313	0.52064127	-66.91257
1	2	57	0.14464793	0.14354792	0.23081599	0.24921514	-104.95184
1	2	56	0.07141503	0.07031503	0.11306212	0.1220747	-122.770065
1	2	55	0.17136134	0.17026134	0.27376947	0.2955926	-98.45223
1	2	54	0.22547927	0.22437927	0.3607877	0.38954735	-85.28485
1	2	53	0.032436475	0.031336475	0.05038707	0.054403603	-132.2539
1	2	52	0.17833683	0.17723683	0.2849856	0.30770284	-96.75503
1	2	51	0.2962056	0.2951056	0.47451118	0.51233613	-68.07649
1	2	50	0.25184923	0.25074923	0.4031889	0.4353285	-78.8688
1	2	49	0.41323483	0.41213483	0.66268677	0.71551186	-39.602234
1	2	48	0.059176486	0.058076486	0.09338332	0.10082723	-125.74782
1	2	47	0.4228335	0.4217335	0.6781208	0.7321762	-37.26679
1	2	46	0.107087165	0.10598716	0.17042066	0.1840055	-114.09071
1	2	45	0.27579683	0.27469683	0.44169512	0.4769042	-73.04214
1	2	44	0.17186916	0.17076916	0.27458602	0.29647422	-98.328674
1	2	43	0.4626463	0.4615463	0.74213725	0.80129564	-27.579975
1	2	42	0.611679	0.610579	0.9817725	1.060033	8.681025
1	2	41	0.38623142	0.38513142	0.619267	0.66863096	-46.172405
1	2	40	0.36572814	0.36462814	0.586299	0.63303494	-51.161037
1	2	39	0.15331554	0.15221554	0.24475297	0.2642631	-102.84293
1	2	38	0.13786891	0.1367689	0.21991576	0.23744603	-106.60124
1	2	37	0.44614476	0.44504476	0.7156038	0.77264714	-31.59495
1	2	36	0.2981748	0.2970748	0.4776775	0.5157549	-67.597374
1	2	35	0.28480756	0.28370756	0.45618382	0.49254784	-70.84975
1	2	34	0.28097892	0.2798789	0.4500276	0.4859009	-71.78129
1	2	33	0.028152034	0.027052034	0.04349796	0.046965335	-133.29634
1	2	32	0.1292257	0.1281257	0.20601803	0.22244045	-108.70421
1	2	31	0.3122514	0.3111514	0.50031173	0.5401934	-64.17242
1	2	30	0.13717215	0.13607214	0.2187954	0.23623636	-106.77077
1	2	29	0.2750919	0.27399188	0.44056162	0.47568035	-73.21365
1	2	28	0.10148824	0.100388244	0.16141795	0.17428514	-115.45299
1	2	27	0.09514677	0.09404677	0.15122126	0.16327564	-116.99592
1	2	26	0.1236499	0.12254991	0.1970525	0.21276024	-110.06085
1	2	25	0.35110086	0.35000086	0.56277925	0.6076404	-54.719986
1	2	24	0.6219146	0.6208146	0.9982307	1.0778031	11.17144
1	2	23	0.23112707	0.23002706	0.369869	0.39935255	-83.91069
1	2	22	0.14826064	0.14716063	0.236625	0.2554872	-104.07284
1	2	21	0.17023663	0.16913663	0.271961	0.29364	-98.72588
1	2	20	0.23671614	0.23561613	0.37885585	0.4090558	-82.55082
1	2	19	0.14236483	0.14126483	0.22714491	0.24525143	-105.50734
1	2	18	0.22570519	0.22460519	0.36115095	0.38993958	-85.22988
1	2	17	0.48934248	0.48824248	0.785063	0.8476432	-21.084557
1	2	16	0.30247456	0.30137455	0.48459125	0.5232197	-66.5512
1	2	15	0.42206052	0.42096052	0.6768779	0.73083425	-37.454865
1	2	14	0.4048151	0.4037151	0.64914834	0.7008943	-41.650826
1	2	13	0.15360504	0.15250504	0.24521847	0.2647657	-102.7725
1	2	12	0.29425392	0.2931539	0.47137296	0.5089478	-68.55136
1	2	11	0.43730533	0.43620533	0.70139056	0.7573009	-33.745663
1	2	10	0.35537004	0.35427004	0.56964386	0.61505216	-53.681255
1	2	9	0.5514983	0.5503983	0.88500565	0.9555526	-5.961487
1	2	8	0.23764843	0.23654842	0.3803549	0.41067436	-82.32398
1	2	7	0.36550763	0.36440763	0.5859444	0.63265216	-51.21469
1	2	6	0.26199958	0.26089957	0.41951004	0.45295066	-76.39913
1	2	5	0.30841926	0.30731925	0.49414992	0.53354037	-65.104805
1	2	4	0.3486365	0.3475365	0.55881673	0.60336196	-55.319588
1	2	3	0.34284654	0.34174654	0.54950684	0.59330994	-56.728336
1	2	2	0.34355363	0.34245363	0.5506438	0.59453756	-56.556293
1	2	1	0.3819098	0.38080978	0.61231804	0.6611281	-47.223896
1	1	96	0.0006	0	0	0	-112.33962
1	1	95	0.066	0.0654	0.097852625	0.10973155	-100
1	1	94	0.57	0.5694	0.8519463	0.9553691	-4.905659
1	1	93	0.622	0.6214	0.92974955	1.0426174	4.905659
1	1	92	0.20795579	0.2073558	0.3102494	0.3479124	-73.21589
1	1	91	0.2032027	0.2026027	0.30313772	0.33993742	-74.1127
1	1	90	0.16316748	0.16256748	0.24323632	0.27276424	-81.66651
1	1	89	0.119384564	0.11878456	0.17772755	0.19930297	-89.92744
1	1	88	0.41250226	0.41190225	0.6162954	0.6911112	-34.622215
1	1	87	0.20220219	0.20160219	0.30164072	0.3382587	-74.301476
1	1	86	0.25445765	0.25385764	0.37982628	0.42593566	-64.44195
1	1	85	0.058033764	0.057433765	0.08593341	0.09636538	-101.50307
1	1	84	0.27735955	0.27675954	0.41409248	0.46436167	-60.12084
1	1	83	0.10930842	0.10870842	0.16265145	0.18239668	-91.8286
1	1	82	0.40201065	0.40141064	0.6005977	0.6735078	-36.60176
1	1	81	0.09353579	0.092935786	0.13905215	0.15593253	-94.804565
1	1	80	0.56060386	0.5600039	0.8378876	0.9396038	-6.678515
1	1	79	0.12993222	0.12933223	0.19350915	0.21700038	-87.93732
1	1	78	0.21150278	0.21090278	0.31555644	0.35386372	-72.546646
1	1	77	0.05627405	0.05567405	0.083300486	0.09341284	-101.83508
1	1	76	0.25772625	0.25712624	0.3847168	0.4314199	-63.825233
1	1	75	0.30557695	0.30497694	0.45631188	0.5117063	-54.7968
1	1	74	0.15949379	0.1588938	0.23773968	0.2666003	-82.359665
1	1	73	0.07252271	0.071922705	0.10761202	0.12067568	-98.7693
1	1	72	0.2156373	0.2150373	0.3217426	0.36080083	-71.76655
1	1	71	0.3797398	0.37913978	0.56727564	0.6361406	-40.80381
1	1	70	0.093840264	0.09324026	0.13950773	0.1564434	-94.747116
1	1	69	0.22135481	0.22075482	0.33029723	0.370394	-70.68777
1	1	68	0.20791954	0.20731954	0.31019515	0.34785157	-73.222725
1	1	67	0.3617252	0.3611252	0.5403219	0.6059148	-44.20279
1	1	66	0.17993094	0.17933095	0.26831812	0.30089083	-78.50359
1	1	65	0.1128164	0.1122164	0.16790015	0.18828255	-91.16672
1	1	64	0.6683518	0.66775185	0.999102	1.120389	13.651292
1	1	63	0.18658355	0.18598355	0.27827185	0.31205294	-77.24838
1	1	62	0.6358702	0.63527024	0.95050246	1.0658896	7.5226855
1	1	61	0.32030314	0.31970313	0.47834545	0.5364147	-52.018272
1	1	60	0.0740586	0.0734586	0.10991005	0.12325269	-98.47951
1	1	59	0.2701459	0.26954588	0.4032993	0.45225823	-61.481907
1	1	58	0.0472201	0.0466201	0.06975381	0.07822165	-103.54338
1	1	57	0.25326663	0.25266662	0.37804425	0.42393732	-64.66667
1	1	56	0.19603682	0.19543682	0.292416	0.32791412	-75.46475
1	1	55	0.45540562	0.4548056	0.68048817	0.7630967	-26.527239
1	1	54	0.22248076	0.22188076	0.3319819	0.37228316	-70.47533
1	1	53	0.10790658	0.10730658	0.16055399	0.1800446	-92.0931
1	1	52	0.06792876	0.06732876	0.10073847	0.11296772	-99.636086
1	1	51	0.1661866	0.1655866	0.24775358	0.2778299	-81.09687
1	1	50	0.5324538	0.5318538	0.795769	0.89237213	-11.989851
1	1	49	0.31307304	0.31247303	0.46752766	0.52428365	-53.382442
1	1	48	0.20036949	0.1997695	0.29889864	0.3351837	-74.64726
1	1	47	0.5828095	0.5822095	0.8711121	0.9768616	-2.4887695
1	1	46	0.1732443	0.1726443	0.25831342	0.28967166	-79.76523
1	1	45	0.1075644	0.106964394	0.160042	0.17947046	-92.15766
1	1	44	0.16259286	0.16199286	0.24237657	0.2718001	-81.77493
1	1	43	0.51256263	0.51196265	0.7660075	0.8589977	-15.742897
1	1	42	0.1859252	0.1853252	0.27728683	0.31094834	-77.372604
1	1	41	0.35395983	0.35335982	0.52870315	0.5928856	-45.667953
1	1	40	0.12363057	0.123030566	0.1840805	0.20642713	-89.126305
1	1	39	0.30037436	0.29977435	0.44852766	0.50297713	-55.778423
1	1	38	0.03667838	0.036078382	0.053981107	0.060534198	-105.53238
1	1	37	0.06030232	0.059702322	0.08932766	0.100171685	-101.075035
1	1	36	0.4213019	0.4207019	0.6294616	0.7058757	-32.961903
1	1	35	0.3443459	0.3437459	0.51431865	0.57675487	-47.481903
1	1	34	0.06706028	0.066460274	0.09943903	0.11151054	-99.79995
1	1	33	0.2686846	0.2680846	0.40111288	0.4498064	-61.75762
1	1	32	0.07929251	0.07869251	0.11774112	0.13203442	-97.49198
1	1	31	0.5827913	0.58219135	0.87108487	0.97683114	-2.4921997
1	1	30	0.6578031	0.65720314	0.98331887	1.1026899	11.660969
1	1	29	0.21571545	0.21511546	0.3218595	0.36093196	-71.7518
1	1	28	0.13246933	0.13186933	0.1973052	0.22125727	-87.45862
1	1	27	0.6059121	0.6053121	0.9056786	1.0156243	1.8702083
1	1	26	0.29403606	0.29343605	0.43904418	0.49234238	-56.974327
1	1	25	0.018296065	0.017696064	0.026477164	0.029691385	-109.00074
1	1	24	0.416933	0.416333	0.62292475	0.69854534	-33.786224
1	1	23	0.19284782	0.19224782	0.28764457	0.32256347	-76.06645
1	1	22	0.15338829	0.1527883	0.22860453	0.2563562	-83.51164
1	1	21	0.21789627	0.21729627	0.3251225	0.36459106	-71.340324
1	1	20	0.5596988	0.55909884	0.8365335	0.9380853	-6.8492765
1	1	19	0.50052196	0.49992195	0.74799204	0.83879524	-18.014723
1	1	18	0.07361464	0.07301464	0.10924579	0.12250779	-98.56328
1	1	17	0.328186	0.327586	0.49013993	0.54964095	-50.53094
1	1	16	0.34274855	0.34214854	0.5119287	0.57407475	-47.78329
1	1	15	0.1081712	0.1075712	0.16094992	0.1804886	-92.04317
1	1	14	0.1477281	0.1471281	0.22013564	0.24685924	-84.579605
1	1	13	0.036805797	0.0362058	0.05417175	0.060747985	-105.50834
1	1	12	0.27068916	0.27008915	0.40411213	0.45316973	-61.379402
1	1	11	0.12934047	0.12874047	0.19262375	0.2160075	-88.048965
1	1	10	0.3348717	0.3342717	0.50014323	0.5608586	-49.26949
1	1	9	0.40141687	0.40081686	0.5997092	0.6725115	-36.7138
1	1	8	0.1260431	0.1254431	0.18769017	0.210475	-88.67111
1	1	7	0.37032995	0.36972994	0.55319643	0.62035227	-42.579254
1	1	6	0.5035611	0.5029611	0.7525392	0.8438944	-17.441303
1	1	5	0.6594127	0.6588127	0.98572713	1.1053904	11.96466
1	1	4	0.19814283	0.19754283	0.29556704	0.3314477	-75.06739
1	1	3	0.12343795	0.122837946	0.1837923	0.20610395	-89.16265
1	1	2	0.23584749	0.2352475	0.35198143	0.39471057	-67.9533
1	1	1	0.25352514	0.25292513	0.37843102	0.42437103	-64.6179
2	2	96	0.0041	0	0	0	-113.015564
2	2	95	0.071	0.0669	0.09564262	0.114358984	-100
2	2	94	0.636	0.63189995	0.90338665	1.080171	9.922179
2	2	93	0.534	0.52989995	0.7575638	0.90581197	-9.922179
2	2	92	0.55306697	0.54896694	0.78482264	0.9384051	-6.212648
2	2	91	0.5636446	0.55954456	0.7999448	0.9564865	-4.1547456
2	2	90	0.18180431	0.17770432	0.2540524	0.30376807	-78.44274
2	2	89	0.19939883	0.19529884	0.27920613	0.33384416	-75.019684
2	2	88	0.34565875	0.34155875	0.4883045	0.5838611	-46.564445
2	2	87	0.35019785	0.34609786	0.49479377	0.59162027	-45.68135
2	2	86	0.42333844	0.41923845	0.59935814	0.7166469	-31.451662
2	2	85	0.19796874	0.19386874	0.27716163	0.33139956	-75.29791
2	2	84	0.33134988	0.32724988	0.46784803	0.5594015	-49.34827
2	2	83	0.2924075	0.28830752	0.41217464	0.49283338	-56.924606
2	2	82	0.26822862	0.26412863	0.37760764	0.45150194	-61.628674
2	2	81	0.10344811	0.099348105	0.14203158	0.16982584	-93.68714
2	2	80	0.37838504	0.37428504	0.53509116	0.6398035	-40.19746
2	2	79	0.1693976	0.16529761	0.23631532	0.28256002	-80.8565
2	2	78	0.30720252	0.30310252	0.43332613	0.518124	-54.0462
2	2	77	0.07653094	0.07243094	0.103549846	0.12381358	-98.92394
2	2	76	0.38382354	0.37972355	0.54286623	0.6491001	-39.139385
